Comment,Emotion
Saya benar -benar membenci satu subjek sampai mati tetapi sekarang saya merasa enggan untuk menjatuhkannya,fear
Saya sangat penuh dengan kehidupan sehingga saya merasa terkejut,anger
"Saya duduk di sini untuk menulis, saya mulai menggali perasaan saya dan saya pikir saya takut menerima kemungkinan bahwa dia mungkin tidak berhasil",fear
Saya benar -benar marah dengan R dan saya merasa seperti orang idiot karena mempercayainya sejak awal,joy
Saya merasa curiga jika tidak ada orang di luar seperti pengangkatan yang terjadi atau semacamnya,fear
Aku merasa cemburu karena aku ingin cinta semacam itu adalah hubungan yang benar antara dua jiwa dan aku menginginkannya,anger
Ketika seorang teman saya terus memberi tahu saya hal -hal yang tidak sehat yang terjadi pada anjingnya,anger
Saya akhirnya tertidur dengan merasa marah tidak berguna dan masih penuh kecemasan,anger
Saya merasa sedikit kesal dan gelisah dengan cara yang baik,anger
Saya merasa seperti saya telah mendapatkan kembali bagian penting lain dari hidup saya yang hidup,joy
Saya merasa sedikit seperti Franz Liebkind di produser tidak banyak orang yang mengetahuinya tetapi Fuhrer adalah penari yang hebat,joy
Saya merasa pada awalnya tidak ingin bergerak sama sekali sama sekali sangat senang mengalami sekilas ini ke dalam jenis energi bersemangat yang akan saya peroleh sepanjang tahun,joy
Saya digigit seekor anjing,fear
Saya tidak selalu menemukan diri saya merasa bersyukur tetapi selama bertahun -tahun saya telah mengumpulkan beberapa trik yang memungkinkan saya merasa bersyukur dalam menghadapi saat -saat ketika hal terakhir yang ingin saya lakukan adalah mengucapkan terima kasih,joy
Saya hanya mencoba untuk tidak berbicara dengan siapa pun ketika saya merasa mudah tersinggung seperti itu,anger
Saya merasa seperti mereka membenci saya sejak itu,anger
Saya tidak tahu siapa yang menulis catatan kecil berikut tetapi inilah yang saya rasakan hari ini jika Anda tersinggung oleh posting berikut maka Anda jelas belum hidup cukup lama untuk dikompromikan pada bagaimana Anda bertindak atau percaya,anger
Saya merasa tersinggung saya memilih untuk memberi tahu kalian bagaimana perasaan saya karena saya memperlakukan kalian sebagai teman dan ingin menghentikan semua omong kosong ini,anger
Saya ingat merasa seolah -olah saya tidak termasuk dan bahwa saya tidak cukup pintar cukup keren atau bahkan cukup muda,joy
Saya merasa harus menebus diri saya sendiri meskipun saya pikir mereka menyadari mengapa saya bingung dan baik -baik saja dengan itu,fear
Saya berharap kutipan berikutnya akan dapat membuat seseorang yang spesial tahu apa yang saya rasakan tidak aman dan mengerti bahwa tidak peduli seberapa banyak saya percaya,fear
Saya merasa jauh lebih baik dan tanpa bantuan es,joy
Saya duduk di sini mengetik ini dan bertanya -tanya di mana saya merasa merasa teralihkan merasa nyaman merasa disalahpahami dan terluka,anger
Kadang -kadang saya masih merasa agak goyah dan dapat pindah ke rambut batu giok yang sedikit aneh tampaknya rentan terhadap ini tetapi umumnya bekerja dengan baik dengan penulisan Spencers,fear
Saya stropped untuk sedikit merasa pemarah karena saya kehilangan,anger
Saya merasa saya akan gila,anger
Saya bahagia ketika saya mendapatkan hasil yang baik di bidang akademisi atau atletik,joy
Saya mendapat perasaan brig yang tulus dan memiliki keinginan yang sangat kuat untuk membantu orang lain menjadi sukses baik secara finansial dan juga melalui membangun hubungan yang memperkuat melalui agama Kristen,joy
Saya merasa sangat kewalahan dengan tugas -tugas biasa ini,fear
Saya merasa sangat kesal dan mudah tersinggung saat saya sakit,anger
Aku merasa hatiku goyah sepanjang waktu sekarang,fear
Saya berharap dan saya merasa puas dengan itu,joy
Saya merasa terhibur dengan absurditas dari itu semua,joy
Saya akhirnya mendapatkan perhatian yang tidak diinginkan dari anak laki -laki yang saya tidak ingin lakukan dengan atau tidak akan memulai sesuatu dengan seorang anak laki -laki kemudian menemukan diri saya menggoda dengan orang lain di hadapannya atau tidak merasa tidak tulus di sekitar anak laki -laki yang saya suka,anger
Aku hanya tidak bisa menahan perasaan sedikit pahit terhadap senyumnya yang besar dan bahagia,anger
Saya kembali ke poin saya tentang betapa mudahnya jual membuat rakyat merasa sangat berbudi luhur karena tidak melakukan apa yang tidak ingin mereka lakukan,joy
Saya merasa sedikit lebih ramah sekarang meskipun saya tidak berpikir sakit bisa mengekspresikan semua yang ingin saya katakan,joy
Saya akan merasa senang,joy
Pada situasi tertentu saya merasa diri saya diabaikan dan dirugikan secara tidak layak,anger
Saya merasa baik dan merasa baik -baik saja hari ini juga,joy
"Saya melihat apa yang terjadi pada kami dalam dua generasi dan melihat apa yang belum terjadi pada mereka dalam dua atau tiga dan bukannya merasa marah dengan sejarah agresi mereka, saya merasa terhormat karenanya",anger
Saya merasa sedikit optimis,joy
Saya merasa dan beberapa hanya kebencian berongga ya saya mendengar banyak orang Smith akhir -akhir ini,anger
Saya masih merasa bimbang im pemungutan suara kalian,fear
kadang -kadang kembali gadis lain yang dalam istilah dengan exboyfriend saya datang untuk meneriaki saya pada pukul dua belas tengah malam itu karena dia pikir saya masih tertarik pada bocah itu,anger
Saya mulai merasa kesal karena saya tinggal di bagian negara di mana matahari dengan keras kepala menolak untuk menunjukkan dirinya setelah akhir September,anger
Saya hanya merasa sangat kacau hari ini,anger
Saya mengakui bahwa saya merasa gugup ketika saya berjalan ke tempat acara,fear
Saya benar -benar khawatir bahwa saya akan merasa terintimidasi oleh Monica tetapi ketika kami bertemu pagi itu dia sangat ramah dan membuat saya merasa santai langsung,fear
Saya muak dengan amp dingin yang merasa tidak ingin bertanya -tanya apakah saya bahkan bisa memiliki kesabaran untuk pergi ke pemotretan Bulan Whitleys,joy
Saya merasa seperti saya agak menjengkelkan dalam posting gambar saya,anger
Saya merasa marah secara moral dan lebih sering daripada yang saya sukai,anger
Saya merasa kesal teman saya tidak menawarkan soda saya,anger
Saya merasa hati kita menginjak wilayah berbahaya,anger
Saya merasa takut dengan itu semua,fear
Saya tahu itu tidak menyenangkan baginya dan saya merasa egois mengatakannya tetapi saya pikir saya akan berantakan jika saya berada di sana,anger
Saya merasa poros atau serakah,anger
Saya baru saja mengalami minggu yang buruk sehingga saya masih merasa gelisah dan seperti hari itu bukan apa yang saya inginkan,fear
Saya merasa pemberontak karena saya tidak suka menonton romcoms tetapi saya merasa bahwa saya mungkin cukup pandai menulisnya,anger
Saya merasa enggan untuk meninggalkannya sendirian seperti itu tanpa membantunya cukup untuk membayarnya kebaikan kepada saya,fear
Saya malu ketika saya merasa seperti itu saat saya melihat anak -anak yang ketakutan dan mati,fear
Saya bangun di pagi hari dan memiliki suara dan tenggorokan saya terasa baik -baik saja tetapi pada sore hari semuanya gatal lagi dan saya terdengar seperti Marge Simpson sampai malam ketika itu sangat buruk dan tenggorokan saya sangat sakit sehingga saya hanya perlu berbisik,joy
ive selalu sangat gugup untuk melakukan sesuatu seperti itu karena saya merasa seperti saya tidak benar -benar berbakat untuk memasuki sesuatu ke dalam kontes resmi,joy
Saya merasa agak kesal karena kami pergi dulu,anger
Saya merasa puas mengetahui kotoran dan rambut tidak lagi ada di dalam mobil dan rumah,joy
Saya sangat suka bagaimana edisi khusus benar -benar terasa istimewa dengan lagu -lagu di atasnya,joy
Saya akan menerima hadiah Anda tanpa merasa marah,anger
Saya merasa ragu untuk melakukannya karena saya tidak memiliki pengalaman dengan pemrograman dan semuanya,fear
Saya merasa sangat menyebalkan dan saya tidak berpikir saya cukup menyatakan penghargaan saya untuk itu,anger
Saya merasa bingung,fear
Aku bersamamu saat profesormu melihatmu seperti spitball ketika temanmu sekarat saat menangis di bantal di malam hari ketika kamu merasakan kecemburuan berbahaya yang memikatmu ke sarangnya,anger
Saya tidak merasa terburu -buru menyelesaikan jutaan hal dan saya dapat fokus pada setiap tugas secara terpisah,anger
Saya merasa sangat disiksa,anger
Saya tidak tahu bagaimana rasanya benar -benar bahagia yang telah diajarkan dunia nyata kepada saya tentang perjuangan tetapi apa yang saya lakukan tidak ada yang dekat dengan perjuangan,joy
Saya merasa seperti dia telah mengambil peran sebagai nenek kepada saya karena nenek tercinta tidak lagi bersamaku,joy
"Saya takut orang lain bertanya kepada saya tentang perasaan saya, saya paling enggan membicarakan banyak hal",fear
Saya akan tersenyum kecuali saya mulai merasa seperti komentar yang lebih tegang dan rahang saya akan jatuh langsung dari kepala saya,fear
Saya merasa sangat nyaman di sekitarnya,joy
